date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:58:30	116/116	---MCZ	200	added ('OK')	text/plain	date:Sun,%2031%20Mar%202024%2009:47:16%20GMT	https://e-gujarati.in/robots.txt		(from )
21:58:34	262058/262058	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202024%2016:57:06%20GMT	https://e-gujarati.in/	E:/ads/e-gujarati.in/index.html	(from )
21:58:36	42844/42844	---MCZ	200	added ('OK')	text/css	date:Thu,%2007%20Mar%202024%2015:07:24%20GMT	https://e-gujarati.in/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.6.9	E:/ads/e-gujarati.in/wp-content/themes/astra/assets/css/minified/main.mina02c.css	(from https://e-gujarati.in/)
21:58:37	110147/110147	---MCZ	200	added ('OK')	text/css	date:Thu,%2025%20Jan%202024%2000:32:28%20GMT	https://e-gujarati.in/wp-includes/css/dist/block-library/style.min.css?ver=6.4.3	E:/ads/e-gujarati.in/wp-includes/css/dist/block-library/style.min84fc.css	(from https://e-gujarati.in/)
21:58:37	13596/13596	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%229b1c5a9f72c13c127293f34226417ce9%22	https://e-gujarati.in/feed/	E:/ads/e-gujarati.in/feed/index.html	(from https://e-gujarati.in/)
21:58:38	2894/2894	---MCZ	200	added ('OK')	text/css	date:Thu,%2016%20Nov%202023%2002:57:00%20GMT	https://e-gujarati.in/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.3	E:/ads/e-gujarati.in/wp-content/plugins/contact-form-7/includes/css/styles7404.css	(from https://e-gujarati.in/)
21:58:38	737/737	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%229b1c5a9f72c13c127293f34226417ce9%22	https://e-gujarati.in/comments/feed/	E:/ads/e-gujarati.in/comments/feed/index.html	(from https://e-gujarati.in/)
21:58:38	882/882	---MCZ	200	added ('OK')	text/css	date:Thu,%2021%20Jul%202022%2012:10:40%20GMT	https://e-gujarati.in/wp-content/themes/astra/assets/css/minified/compatibility/contact-form-7-main.min.css?ver=4.6.9	E:/ads/e-gujarati.in/wp-content/themes/astra/assets/css/minified/compatibility/contact-form-7-main.mina02c.css	(from https://e-gujarati.in/)
21:58:39	1057/1057	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Mar%202024%2010:35:28%20GMT	https://e-gujarati.in/wp-content/plugins/recent-posts-widget-with-thumbnails/public.css?ver=7.1.1	E:/ads/e-gujarati.in/wp-content/plugins/recent-posts-widget-with-thumbnails/public03db.css	(from https://e-gujarati.in/)
21:58:40	792/792	---MCZ	200	added ('OK')	text/xml	date:Mon,%2001%20Apr%202024%2016:57:15%20GMT	https://e-gujarati.in/xmlrpc.php?rsd	E:/ads/e-gujarati.in/xmlrpc0db0.php	(from https://e-gujarati.in/)
21:58:40	1008/1008	---M--	200	added ('OK')	image/webp	date:Tue,%2016%20Jan%202024%2015:41:56%20GMT	https://e-gujarati.in/wp-content/uploads/2024/01/cropped-E-G-32x32.webp	E:/ads/e-gujarati.in/wp-content/uploads/2024/01/cropped-E-G-32x32.webp	(from https://e-gujarati.in/)
